시군명,사업장명,인허가일자,영업상태명,입소정원(명),자격소유인원수(명),총인원수(명),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
의왕시,청계장애인주간보호시설,20140519,운영중,30,5,10,경기도 의왕시 덕장로 19,경기도 의왕시 청계동 983번지 청계종합사회복지관(2층),16007,37.3912234133,126.9949998367
의왕시,의왕시장애인주간보호시설,20000807,운영중,30,0,0,,경기도 의왕시 고천동,,37.3481642506,127.0039879921
의정부시,의정부시장애인주간보호시설 곰두리네집,20000803,운영중,30,3,3,경기도 의정부시 진등로11번길 9,경기도 의정부시 녹양동 386-3번지,11606,37.7590368963,127.0317061337
의정부시,놀자센터,19980218,운영중,0,2,4,,경기도 의정부시 신곡동 588-3번지,11744,37.7375945932,127.0563161273
의정부시,그루터기 주간보호,20101014,운영중,10,,2,경기도 의정부시 송산로1161번길 172-53,경기도 의정부시 용현동 157-16번지,11796,37.7260739629,127.0834291622
의정부시,의정부시장애인종합복지관 부설 주간보호시설,20080110,운영중,20,3,3,경기도 의정부시 용민로 160,경기도 의정부시 민락동 735-17번지,11804,37.7436003276,127.0921163057
이천시,이천시장애인주간보호시설 효양동산,19990101,운영중,30,2,2,경기도 이천시 부발읍 죽당로 36,경기도 이천시 부발읍 무촌리 56-4번지,17321,37.2843275374,127.4958754436
이천시,엘리엘동산 주간보호센터,20120926,운영중,20,4,5,,경기도 이천시 마장면,,37.2682098956,127.3995246064
파주시,해오름장애인주간보호센터,20130730,운영중,20,2,,,경기도 파주시 상지석동,,37.7380043790,126.7640264701
파주시,파주시장애인주간보호센터,20040916,운영중,20,3,3,,경기도 파주시 금촌동,,37.7722726546,126.7710782002
파주시,파주시문산종합사회복지관 장애인주간보호센터,20110714,운영중,20,,,,경기도 파주시 문산읍,,37.8768461766,126.7810827113
평택시,합정장애인주간보호센터,20031016,운영중,30,0,30,경기도 평택시 조개터로2번길 41,경기도 평택시 합정동 936-3번지,17915,36.9866860673,127.1031421059
평택시,하래장애인주간보호센터,20091001,운영중,15,2,2,,경기도 평택시 포승읍 도곡리,,36.9964612046,126.8731989861
평택시,서부장애인주간보호센터,20141127,운영중,15,,4,,경기도 평택시 안중읍 안중리,,36.9926459285,126.9330786295
평택시,팽성장애인주간보호센터,20090520,운영중,25,3,4,,경기도 평택시 팽성읍 남산리 산 59-7번지,17994,36.9577722927,127.0597299775
평택시,평택북부장애인주간보호센터,20120717,운영중,25,,,,경기도 평택시 서정동,,37.0698766766,127.0541012531
평택시,에바다장애인주간보호센터,20140318,운영중,20,4,8,,경기도 평택시 팽성읍,,36.9643038274,127.0401850073
포천시,곰두리두레마을,20041027,운영중,21,0,0,경기도 포천시 군내면 청성로 5,경기도 포천시 군내면 하성북리 522-1번지,11151,37.9045561380,127.2113812715
포천시,포천시 장애인주간보호센터,20131002,운영중,20,3,6,,경기도 포천시 소흘읍 송우리,,37.8292910886,127.1455037993
하남시,하남시장애인주간보호시설,20001201,운영중,30,0,6,경기도 하남시 검단로19번길 27,경기도 하남시 하산곡동 69-1번지,13024,37.5235454781,127.2236197526
화성시,와~우리장애인주간보호센터,20141231,운영중,28,5,6,,경기도 화성시 봉담읍 동화리,,37.2325397168,126.9686024927
화성시,좋은이웃장애인주간보호센터,20100111,운영중,16,4,4,경기도 화성시 향남읍 행정서로3길 50,경기도 화성시 향남읍 행정리 437-3번지,18598,37.1304092372,126.9194592628
화성시,나래울 주간보호센터(나래울 복합복지타운),20110111,운영중,24,3,,,경기도 화성시 능동,,37.2246916442,127.0373832631
화성시,와~우리 장애인주간보호센터,20050820,운영중,23,4,4,경기도 화성시 봉담읍 와우안길 99,경기도 화성시 봉담읍 동화리 197번지,18298,37.2199084608,126.9732614209
화성시,아르딤장애인주간보호센터,20160121,운영중,16,,4,,경기도 화성시 팔탄면,,37.1564180158,126.8827765304
화성시,여울림장애인주간보호센터,20170102,운영중,12,,3,,경기도 화성시 송산면 사강리,,37.2131243037,126.7321414651

