Based_Year,City,Total,Men_Tot,Women_Tot,Fir_Ord_Dis_Tot,Fir_Ord_Dis_Men,Fir_Ord_Dis_Wom,Sec_Ord_Dis_Tot,Sec_Ord_Dis_Men,Sec_Ord_Dis_Wom,Thi_Ord_Dis_Tot,Thi_Ord_Dis_Men,Thi_Ord_Dis_Wom,Fou_Ord_Dis_Tot,Fou_Ord_Dis_Men,Fou_Ord_Dis_Wom,Fif_Ord_Dis_Tot,Fif_Ord_Dis_Men,Fif_Ord_Dis_Wom,Six_Ord_Dis_Tot,Six_Ord_Dis_Men,Six_Ord_Dis_Wom
2013,여주시,7022,4089,2933,741,437,304,917,542,375,1318,760,558,1021,521,500,1476,808,668,1549,1021,528
2013,연천군,3358,1994,1364,325,206,119,456,291,165,598,382,216,560,288,272,693,370,323,726,457,269
2013,오산시,7646,4645,3001,609,363,246,1166,634,532,1331,810,521,1066,600,466,1450,841,609,2024,1397,627
2013,용인시,30814,17843,12971,2512,1411,1101,4279,2413,1866,5380,3100,2280,4137,2160,1977,6714,3657,3057,7792,5102,2690
2013,의왕시,6073,3513,2560,446,244,202,736,419,317,1002,577,425,970,468,502,1341,773,568,1578,1032,546
2013,의정부시,19084,11071,8013,1606,925,681,2607,1489,1118,3232,1984,1248,2778,1397,1381,4079,2152,1927,4782,3124,1658
2013,이천시,10185,6093,4092,1017,599,418,1403,812,591,1878,1145,733,1492,792,700,2047,1142,905,2348,1603,745
2013,파주시,18134,10606,7528,1570,903,667,2419,1418,1001,3171,1941,1230,2891,1460,1431,3762,2062,1700,4321,2822,1499
2013,평택시,22039,13087,8952,1512,848,664,2711,1514,1197,3675,2301,1374,3169,1687,1482,4856,2702,2154,6116,4035,2081
2013,포천시,9697,5972,3725,783,473,310,1308,791,517,1685,1098,587,1521,840,681,1947,1121,826,2453,1649,804
2013,하남시,6788,4066,2722,552,317,235,838,526,312,1128,724,404,956,506,450,1525,817,708,1789,1176,613
2013,화성시,20443,12572,7871,1600,937,663,2622,1544,1078,3458,2162,1296,2840,1577,1263,4238,2480,1758,5685,3872,1813
2012,가평군,5176,3061,2115,774,457,317,868,515,353,899,564,335,676,348,328,969,503,466,990,674,316
2012,고양시,35677,20483,15194,3538,2031,1507,4845,2731,2114,5880,3587,2293,5182,2554,2628,7562,3960,3602,8670,5620,3050
2012,과천시,2225,1241,984,182,105,77,336,197,139,383,221,162,302,134,168,485,239,246,537,345,192
2012,광명시,14416,8564,5852,1138,656,482,2011,1155,856,2422,1521,901,2207,1127,1080,2989,1698,1291,3649,2407,1242
2012,광주시,12604,7793,4811,1258,722,536,1605,950,655,2054,1301,753,1761,1004,757,2585,1481,1104,3341,2335,1006
2012,구리시,8207,4941,3266,590,349,241,1062,639,423,1410,895,515,1155,606,549,1743,961,782,2247,1491,756
2012,군포시,11054,6424,4630,916,524,392,1393,769,624,1836,1097,739,1651,847,804,2416,1328,1088,2842,1859,983
2012,김포시,12712,7730,4982,1150,674,476,1677,1011,666,2080,1310,770,1936,1058,878,2729,1526,1203,3140,2151,989
2012,남양주시,26668,16052,10616,2048,1227,821,3289,1976,1313,4527,2793,1734,3840,2079,1761,5724,3149,2575,7240,4828,2412
2012,동두천시,5669,3295,2374,467,276,191,872,489,383,1094,692,402,879,464,415,1128,603,525,1229,771,458
2012,부천시,35761,21917,13844,2812,1710,1102,4665,2751,1914,6276,3927,2349,5612,3104,2508,7206,4115,3091,9190,6310,2880
2012,성남시,36168,21079,15089,3267,1873,1394,4937,2854,2083,6025,3634,2391,5413,2770,2643,7356,3923,3433,9170,6025,3145
2012,수원시,39554,23387,16167,3279,1846,1433,5190,2962,2228,6654,4032,2622,5584,2983,2601,7945,4361,3584,10902,7203,3699
2012,시흥시,16795,10604,6191,1179,708,471,2011,1179,832,2973,1883,1090,2442,1432,1010,3550,2096,1454,4640,3306,1334
2012,안산시,32513,20404,12109,2405,1386,1019,3937,2312,1625,5481,3544,1937,4565,2704,1861,7286,4284,3002,8839,6174,2665
2012,안성시,10071,6134,3937,870,531,339,1417,827,590,1713,1127,586,1511,791,720,2054,1134,920,2506,1724,782
2012,안양시,22172,13029,9143,1637,962,675,2874,1685,1189,3667,2211,1456,3310,1688,1622,4934,2639,2295,5750,3844,1906
2012,양주시,10299,6143,4156,843,495,348,1483,789,694,1903,1195,708,1491,816,675,2112,1185,927,2467,1663,804
2012,양평군,6907,4013,2894,775,439,336,981,573,408,1145,719,426,1062,541,521,1420,760,660,1524,981,543
2012,여주시,7012,4094,2918,741,430,311,927,549,378,1295,763,532,1053,536,517,1462,793,669,1534,1023,511
2012,연천군,3394,1999,1395,338,215,123,457,282,175,614,388,226,582,292,290,697,372,325,706,450,256
2012,오산시,7571,4613,2958,632,373,259,1136,616,520,1293,797,496,1069,604,465,1446,849,597,1995,1374,621
2012,용인시,30575,17726,12849,2554,1415,1139,4309,2438,1871,5297,3078,2219,4130,2166,1964,6675,3610,3065,7610,5019,2591
2012,의왕시,5986,3461,2525,433,234,199,712,397,315,1020,587,433,973,467,506,1321,764,557,1527,1012,515
2012,의정부시,19047,11083,7964,1615,941,674,2635,1516,1119,3221,2007,1214,2850,1436,1414,4028,2103,1925,4698,3080,1618
2012,이천시,10259,6131,4128,1063,619,444,1414,799,615,1887,1142,745,1516,809,707,2074,1167,907,2305,1595,710
2012,파주시,18014,10562,7452,1579,912,667,2437,1418,1019,3172,1962,1210,2908,1468,1440,3702,2040,1662,4216,2762,1454
2012,평택시,22059,13099,8960,1512,848,664,2731,1519,1212,3684,2295,1389,3186,1710,1476,4902,2720,2182,6044,4007,2037
2012,포천시,9715,5999,3716,786,482,304,1318,789,529,1685,1095,590,1529,849,680,1986,1158,828,2411,1626,785
2012,하남시,6859,4112,2747,562,324,238,870,536,334,1117,721,396,959,512,447,1560,822,738,1791,1197,594
2012,화성시,20380,12470,7910,1625,953,672,2620,1548,1072,3474,2160,1314,2856,1562,1294,4181,2427,1754,5624,3820,1804

